comments_sampled_per_video,repetition,seed,eligible_videos,topic_number,topic_label,metric,spearman_rho
10,3,21260831,591,6,"Praise, gratitude and social endorsement",api_comment_count,-0.028605415024518223
10,3,21260831,591,6,"Praise, gratitude and social endorsement",likes_per_1000_views,0.0989453539654848
10,3,21260831,591,6,"Praise, gratitude and social endorsement",api_comments_per_1000_views,0.2031678228767787
10,3,21260831,591,6,"Praise, gratitude and social endorsement",views_per_day,-0.2696640833482896
10,3,21260831,591,6,"Praise, gratitude and social endorsement",api_comments_per_day,-0.14140588598965778
10,3,21260831,591,7,"Alternative methods, challenges and ""why"" questions",duration_minutes,-0.14732379937166637
10,3,21260831,591,7,"Alternative methods, challenges and ""why"" questions",view_count,0.04701694748985557
10,3,21260831,591,7,"Alternative methods, challenges and ""why"" questions",like_count,0.017360762212947134
10,3,21260831,591,7,"Alternative methods, challenges and ""why"" questions",api_comment_count,-0.0610015629652813
10,3,21260831,591,7,"Alternative methods, challenges and ""why"" questions",likes_per_1000_views,-0.023141236461214087
10,3,21260831,591,7,"Alternative methods, challenges and ""why"" questions",api_comments_per_1000_views,-0.13430861544332437
10,3,21260831,591,7,"Alternative methods, challenges and ""why"" questions",views_per_day,0.04392862034825671
